#{"t_start": 1734874795.2420647, "env_id": "None"}
r,l,t
0.0,1000,9.176833
0.0,1000,9.177023
0.0,1000,9.177054
-675.42365,1000,9.177067
-372.0086,1000,9.177083
-430.53455,1000,9.177096
0.0,1000,9.177108
0.0,1000,9.17713
-1138.7812,1000,9.177142
-1.2192619,1000,9.177154
0.0,1000,16.15293
-449.0664,1000,16.15302
-1175.1814,1000,16.153041
0.0,1000,16.153052
0.0,1000,16.153063
-1597.7823,1000,16.153072
0.0,1000,16.153081
598.71405,1000,16.15309
0.0,1000,16.1531
0.0,1000,16.153109
-51.955425,1000,27.822359
0.0,1000,27.822455
0.0,1000,27.822478
0.0,1000,27.82249
0.0,1000,27.822502
0.0,1000,27.822514
0.0,1000,27.822526
0.0,1000,27.822538
0.0,1000,27.82255
-13.982114,1000,27.822562
132.56584,1000,34.712737
-1.5175111,1000,34.712805
0.0,1000,34.712822
0.0,1000,34.712833
-33.046753,1000,34.712843
0.0,1000,34.712853
0.0,1000,34.712863
0.0,1000,34.71288
-17.210554,1000,34.712895
0.0,1000,34.712915
0.0,1000,46.509624
0.0,1000,46.509682
0.0,1000,46.509716
-465.9836,1000,46.509736
0.0,1000,46.509749
-358.98788,1000,46.509759
0.0,1000,46.509771
-46.280716,1000,46.509781
38.343624,1000,46.509791
0.0,1000,46.5098
0.0,1000,53.13988
0.0,1000,53.139941
-8.513904,1000,53.14033
0.0,1000,53.140346
0.0,1000,53.140356
0.0,1000,53.140365
0.0,1000,53.140375
0.0,1000,53.140384
0.0,1000,53.140393
0.0,1000,53.140406
0.0,1000,64.948344
-0.88215387,1000,64.948422
0.0,1000,64.948443
0.0,1000,64.948455
-3.1711228,1000,64.948464
0.0,1000,64.948475
0.0,1000,64.948484
-9.475858,1000,64.948493
0.0,1000,64.948503
-24.233585,1000,64.948513
0.0,1000,71.649679
-54.66893,1000,71.649817
6.7449174,1000,71.649849
0.0,1000,71.649878
19.814894,1000,71.649894
43.390835,1000,71.649915
0.0,1000,71.649942
0.0,1000,71.649971
0.0,1000,71.649992
0.0,1000,71.650007
-11.600738,1000,83.527563
0.0,1000,83.527785
0.0,1000,83.527815
-78.99784,1000,83.527833
0.0,1000,83.527849
0.0,1000,83.527864
0.0,1000,83.527878
0.0,1000,83.527892
0.0,1000,83.527906
-53.87826,1000,83.52792
0.0,1000,90.245032
0.0,1000,90.245092
0.0,1000,90.245107
0.0,1000,90.245117
0.0,1000,90.245126
-10.655258,1000,90.245135
0.0,1000,90.245145
0.0,1000,90.245154
0.0,1000,90.245163
-90.32354,1000,90.245172
0.0,1000,101.715637
0.0,1000,101.715698
0.0,1000,101.715713
0.0,1000,101.715724
0.0,1000,101.715733
0.0,1000,101.715742
33.847626,1000,101.715751
0.0,1000,101.715761
13.53953,1000,101.71577
0.0,1000,101.71578
0.0,1000,108.62984
0.0,1000,108.629922
0.0,1000,108.629946
141.6404,1000,108.629963
-38.544613,1000,108.629981
0.0,1000,108.630001
0.0,1000,108.630016
0.0,1000,108.63003
0.0,1000,108.630052
