#{"t_start": 1734880537.0731826, "env_id": "None"}
r,l,t
0.0,1000,8.574203
-79.55582,1000,8.574632
0.0,1000,8.574752
-140.85004,1000,8.574796
0.0,1000,8.574829
-4.4894333,1000,8.574853
0.0,1000,8.57487
0.0,1000,8.574883
0.0,1000,8.5749
0.0,1000,8.574914
-314.26685,1000,15.212868
-239.01009,1000,15.212936
0.0,1000,15.212951
0.0,1000,15.212963
0.0,1000,15.212972
0.0,1000,15.212982
0.0,1000,15.21299
0.0,1000,15.213
-1124.8239,1000,15.213009
0.0,1000,15.213019
-1287.4366,1000,28.511745
-1262.328,1000,28.511873
96.51253,1000,28.511911
0.0,1000,28.511928
-430.09357,1000,28.511943
0.0,1000,28.51196
-959.3347,1000,28.51199
0.0,1000,28.512009
-819.60364,1000,28.512043
-27.037561,1000,28.512065
-2244.1135,1000,36.591361
-528.1474,1000,36.591433
-585.2016,1000,36.591455
-414.62872,1000,36.591471
0.0,1000,36.591487
0.0,1000,36.591503
-1540.6206,1000,36.591517
0.0,1000,36.591532
-1283.9926,1000,36.591547
0.0,1000,36.591562
-207.0943,1000,50.416326
0.0,1000,50.416413
0.0,1000,50.416439
-102.148094,1000,50.416455
287.96573,1000,50.416474
0.0,1000,50.41649
0.0,1000,50.416522
-502.4371,1000,50.416537
0.0,1000,50.416552
0.0,1000,50.416566
0.0,1000,57.319835
0.0,1000,57.319908
-1357.3375,1000,57.319924
328.42548,1000,57.319939
-0.023197804,1000,57.319952
-155.01694,1000,57.319965
0.0,1000,57.319976
-286.27005,1000,57.319988
0.0,1000,57.32
-1164.5726,1000,57.320011
0.0,1000,68.922629
467.9704,1000,68.922683
0.0,1000,68.922699
0.0,1000,68.92271
-90.14423,1000,68.922719
0.0,1000,68.922729
0.0,1000,68.922739
0.0,1000,68.922748
0.0,1000,68.922757
0.0,1000,68.922765
0.0,1000,75.818419
-85.05467,1000,75.818477
-1009.43713,1000,75.818493
205.95563,1000,75.818505
-84.5663,1000,75.818515
0.0,1000,75.818525
0.0,1000,75.818534
0.0,1000,75.818543
-404.4993,1000,75.818552
0.0,1000,75.818561
0.0,1000,87.314788
-0.21206254,1000,87.314895
0.0,1000,87.314918
0.0,1000,87.314936
0.0,1000,87.314952
0.0,1000,87.314967
126.56102,1000,87.314984
-12.926407,1000,87.315003
0.0,1000,87.315022
0.0,1000,87.31504
0.0,1000,94.115581
0.8589494,1000,94.115656
-0.19938372,1000,94.115687
0.0,1000,94.115704
0.0,1000,94.115719
0.0,1000,94.115733
-67.02706,1000,94.115746
-7.369642,1000,94.115761
0.0,1000,94.115788
0.0,1000,94.115802
0.0,1000,105.726568
0.0,1000,105.726655
0.0,1000,105.726671
0.0,1000,105.726682
0.0,1000,105.726691
0.0,1000,105.726701
324.8282,1000,105.726723
0.0,1000,105.726736
-20.336891,1000,105.726745
-0.78269845,1000,105.726756
0.0,1000,112.908635
18.277214,1000,112.908738
0.0,1000,112.908762
-76.000534,1000,112.908783
0.0,1000,112.908803
0.0,1000,112.90882
0.0,1000,112.908837
4.713234,1000,112.908853
64.987175,1000,112.908871
72.44048,1000,112.908903
0.0,1000,124.568853
138.87814,1000,124.568911
0.0,1000,124.568928
0.0,1000,124.568939
0.0,1000,124.568948
-22.813183,1000,124.568958
0.0,1000,124.568968
0.0,1000,124.568976
165.81403,1000,124.568985
-304.72812,1000,124.568995
-13.448244,1000,131.391206
0.0,1000,131.391265
42.644043,1000,131.391281
0.0,1000,131.391292
22.754368,1000,131.391302
-0.24655414,1000,131.391311
42.38819,1000,131.391321
108.845764,1000,131.391331
0.0,1000,131.39134
0.0,1000,131.391349
-28.537859,1000,143.141111
71.00106,1000,143.141219
-146.10265,1000,143.141258
0.0,1000,143.141299
240.68143,1000,143.141336
0.0,1000,143.14136
0.0,1000,143.141379
-11.002166,1000,143.141409
0.0,1000,143.141445
0.0,1000,143.141475
0.0,1000,149.701796
0.0,1000,149.70188
-32.41902,1000,149.701907
0.0,1000,149.701931
0.0,1000,149.701951
134.12555,1000,149.701969
0.0,1000,149.701988
-20.268314,1000,149.702005
0.0,1000,149.702023
0.0,1000,149.702041
0.0,1000,161.31414
0.0,1000,161.314213
52.60089,1000,161.314228
43.30841,1000,161.31424
0.0,1000,161.314251
0.0,1000,161.31426
0.0,1000,161.314269
0.0,1000,161.314278
0.0,1000,161.314287
0.0,1000,161.314296
0.0,1000,168.381152
0.0,1000,168.381254
48.840733,1000,168.381282
-6.9101806,1000,168.381303
114.23232,1000,168.38132
0.0,1000,168.381339
0.0,1000,168.381388
132.03516,1000,168.381403
13.229846,1000,168.381419
0.0,1000,168.381433
0.0,1000,179.955691
0.0,1000,179.955752
0.0,1000,179.955777
-1.4236586,1000,179.955796
0.0,1000,179.95582
61.00131,1000,179.955835
-123.137634,1000,179.955851
0.0,1000,179.955866
179.76878,1000,179.955884
0.0,1000,179.955899
68.87153,1000,186.673132
3.154769,1000,186.673199
0.0,1000,186.673215
0.0,1000,186.673226
-170.73405,1000,186.673236
0.0,1000,186.673246
113.0945,1000,186.673255
34.21524,1000,186.673265
-3.6899445,1000,186.673275
0.0,1000,186.673285
8.2060795,1000,198.606489
62.726444,1000,198.606633
16.022083,1000,198.60671
64.99142,1000,198.607054
7.3186665,1000,198.607136
0.44459558,1000,198.607195
55.68626,1000,198.607219
42.90825,1000,198.607241
0.0,1000,198.607271
5.221621,1000,198.607287
11.269274,1000,205.789874
70.20095,1000,205.789934
10.613268,1000,205.78995
66.81552,1000,205.789961
6.4752245,1000,205.789971
14.849582,1000,205.789981
-9.893616,1000,205.78999
37.10103,1000,205.79
40.220997,1000,205.790009
49.53303,1000,205.790019
14.657045,1000,217.820716
14.730654,1000,217.820784
-12.533317,1000,217.820803
21.526608,1000,217.820817
22.95775,1000,217.820829
15.349938,1000,217.820841
14.320741,1000,217.820854
59.73515,1000,217.820866
137.6053,1000,217.820878
33.76741,1000,217.82089
50.192272,1000,225.271749
12.388864,1000,225.271829
49.725307,1000,225.271862
9.6505995,1000,225.271884
109.22989,1000,225.271901
17.933634,1000,225.271918
7.7517233,1000,225.271937
37.957546,1000,225.271954
19.64263,1000,225.271973
11.883716,1000,225.27199
36.286896,1000,237.383376
16.806393,1000,237.38345
8.482753,1000,237.383471
17.660942,1000,237.38349
19.262812,1000,237.383503
23.76829,1000,237.383516
21.23008,1000,237.383528
16.37603,1000,237.383541
24.133953,1000,237.383555
92.686615,1000,237.383571
46.359272,1000,244.761745
22.44208,1000,244.761805
11.804666,1000,244.761825
67.09986,1000,244.761842
40.957634,1000,244.761859
0.0,1000,244.761875
30.115297,1000,244.76189
70.33038,1000,244.761907
29.080732,1000,244.761923
13.618951,1000,244.761939
32.891773,1000,256.773525
13.7157755,1000,256.773588
18.87467,1000,256.773606
39.529987,1000,256.773622
-33.050877,1000,256.773635
32.993465,1000,256.773648
3.607892,1000,256.773659
53.54123,1000,256.773671
19.302946,1000,256.773683
31.279274,1000,256.773694
38.21658,1000,264.183937
34.15536,1000,264.183991
26.433626,1000,264.184006
25.711933,1000,264.184018
35.77943,1000,264.184028
32.362003,1000,264.184038
75.198166,1000,264.184048
31.270546,1000,264.184058
28.785892,1000,264.184068
29.92036,1000,264.184078
8.032017,1000,276.349658
23.649048,1000,276.349779
27.183926,1000,276.349799
24.78883,1000,276.349813
108.84859,1000,276.349825
49.683407,1000,276.349838
27.635983,1000,276.349851
23.950508,1000,276.349864
37.425323,1000,276.349881
18.527761,1000,276.3499
17.58586,1000,284.187676
30.98293,1000,284.187742
16.047915,1000,284.187768
33.9246,1000,284.187782
27.698961,1000,284.187795
31.683079,1000,284.187812
84.803764,1000,284.187825
25.994463,1000,284.187838
52.830902,1000,284.18785
40.080322,1000,284.187862
31.205511,1000,296.217335
23.958683,1000,296.217399
57.53933,1000,296.217418
40.313503,1000,296.217432
22.616165,1000,296.217444
55.25214,1000,296.217456
24.610558,1000,296.217468
22.98928,1000,296.217479
30.346256,1000,296.217492
31.850555,1000,296.217504
26.855347,1000,303.69576
0.50689167,1000,303.695815
41.653618,1000,303.695831
