#{"t_start": 1746708519.2405748, "env_id": "None"}
r,l,t
-16.982386,1000,44.543748
0.0,1000,44.543864
0.0,1000,44.543911
0.0,1000,44.543947
0.0,1000,44.543982
0.0,1000,44.544016
0.0,1000,44.54405
-416.7296,1000,44.544088
0.0,1000,44.544124
0.0,1000,44.544157
0.0,1000,51.164994
0.0,1000,51.165097
36.216667,1000,51.165135
-1039.75,1000,51.165169
0.0,1000,51.165199
0.0,1000,51.165227
0.0,1000,51.165253
48.783813,1000,51.165279
-955.45544,1000,51.165308
0.0,1000,51.165336
0.0,1000,62.859676
0.0,1000,62.85977
-0.31110826,1000,62.859808
-62.713863,1000,62.859843
0.0,1000,62.859873
-184.74974,1000,62.859901
0.0,1000,62.859931
-2.0331545,1000,62.859959
0.0,1000,62.859987
166.65303,1000,62.860014
-16.477543,1000,69.015538
0.0,1000,69.015633
0.0,1000,69.015671
0.0,1000,69.015701
-163.89124,1000,69.015729
2.2422276,1000,69.015758
0.0,1000,69.015787
-6.7535686,1000,69.015815
0.0,1000,69.015843
-43.475105,1000,69.01587
-5.141043,1000,80.273366
0.0,1000,80.273473
0.0,1000,80.273511
14.183717,1000,80.273541
0.0,1000,80.27357
0.0,1000,80.273598
0.0,1000,80.273625
0.0,1000,80.273651
109.32896,1000,80.273678
0.0,1000,80.273706
0.0,1000,86.522871
0.0,1000,86.522976
5.5434437,1000,86.523014
-0.8497346,1000,86.523047
0.0,1000,86.523077
-477.19043,1000,86.523105
26.64994,1000,86.523134
0.0,1000,86.523164
0.0,1000,86.523192
0.0,1000,86.523219
-0.23230158,1000,98.977231
-2.8085043,1000,98.977351
102.72034,1000,98.977392
-824.08856,1000,98.977425
19.788279,1000,98.977455
17.980032,1000,98.977484
0.0,1000,98.977514
-4.1165543,1000,98.977541
0.0,1000,98.97757
-10.948301,1000,98.9776
0.0,1000,105.635727
10.444034,1000,105.635818
0.0,1000,105.635858
84.57991,1000,105.63589
0.0,1000,105.635923
0.0,1000,105.635951
0.0,1000,105.635978
-20.412418,1000,105.636006
0.0,1000,105.636035
69.269104,1000,105.636063
0.0,1000,117.103176
0.0,1000,117.10327
0.58964235,1000,117.103307
0.0,1000,117.103341
0.0,1000,117.10337
186.29184,1000,117.103397
0.0,1000,117.103426
0.0,1000,117.103454
-20.259527,1000,117.103481
0.0,1000,117.103511
0.0,1000,125.585295
0.0,1000,125.585386
0.0,1000,125.585424
201.51768,1000,125.585454
-6.4951663,1000,125.585485
0.0,1000,125.585515
0.0,1000,125.585542
0.0,1000,125.585569
0.0,1000,125.585595
0.0,1000,125.585621
0.0,1000,138.82467
-616.47784,1000,138.824778
0.0,1000,138.824821
0.0,1000,138.824853
-51.19042,1000,138.824881
10.0059805,1000,138.824911
-4.7772675,1000,138.82494
-2.54806,1000,138.824969
95.76819,1000,138.824997
-13.659432,1000,138.825025
0.0,1000,146.634866
0.0,1000,146.634995
16.245255,1000,146.635032
0.0,1000,146.635066
14.601235,1000,146.635096
24.890747,1000,146.635125
0.0,1000,146.635154
-41.609726,1000,146.635186
0.0,1000,146.635216
0.0,1000,146.635243
0.61798847,1000,168.201823
0.0,1000,168.201936
-1.8157042,1000,168.201975
3.4685535,1000,168.202006
0.0,1000,168.202037
0.0,1000,168.202065
0.0,1000,168.202091
-0.2231577,1000,168.202118
209.56535,1000,168.202146
0.0,1000,168.202175
-7.1311197,1000,174.89382
0.0,1000,174.89392
0.0,1000,174.893965
33.588806,1000,174.893994
-0.31935662,1000,174.894024
0.0,1000,174.894054
214.30986,1000,174.894082
0.0,1000,174.894111
-0.38282183,1000,174.894138
0.0,1000,174.894168
0.0,1000,186.339931
0.0,1000,186.340068
0.0,1000,186.340115
-10.213143,1000,186.340145
0.0,1000,186.340178
0.0,1000,186.340219
0.0,1000,186.340276
0.0,1000,186.340341
0.0,1000,186.340396
-31.39814,1000,186.340431
-4.283507,1000,192.713953
0.0,1000,192.714081
9.583929,1000,192.714125
0.43663236,1000,192.714162
0.0,1000,192.714197
3.7468894,1000,192.71423
0.0,1000,192.714264
-48.251125,1000,192.714295
3.07019,1000,192.714329
0.0,1000,192.714363
0.0,1000,204.34694
2.4821212,1000,204.347031
0.058885816,1000,204.34707
0.0,1000,204.347103
0.0,1000,204.347132
0.0,1000,204.347159
0.0,1000,204.347186
0.0,1000,204.347213
-7.492425,1000,204.347239
-10.344279,1000,204.347268
0.0,1000,211.174964
58.14824,1000,211.17506
0.0,1000,211.175106
59.26894,1000,211.175143
22.119062,1000,211.175184
25.440252,1000,211.175223
0.0,1000,211.175258
29.596594,1000,211.175291
0.52343655,1000,211.175324
0.0,1000,211.175359
2.1014154,1000,224.041533
230.528,1000,224.04163
-0.83010143,1000,224.041668
6.454764,1000,224.0417
1.7490202,1000,224.041732
6.932702,1000,224.041761
1.3991187,1000,224.04179
0.0,1000,224.041819
5.043964,1000,224.041847
15.666711,1000,224.041875
110.75821,1000,230.77685
1.5817682,1000,230.776952
6.321027,1000,230.776995
69.41906,1000,230.77703
27.087591,1000,230.777065
36.161457,1000,230.777099
10.887993,1000,230.777133
26.77267,1000,230.777166
5.8116913,1000,230.777199
0.3788323,1000,230.777232
43.832508,1000,243.100684
16.665495,1000,243.100781
29.274128,1000,243.100819
16.64486,1000,243.100851
9.961103,1000,243.10088
26.837812,1000,243.100909
22.784185,1000,243.100938
13.974969,1000,243.100966
18.355457,1000,243.100996
20.681208,1000,243.101024
24.930815,1000,255.613984
17.95921,1000,255.614078
42.970196,1000,255.614118
33.047592,1000,255.61415
75.5,1000,255.61418
88.98654,1000,255.61421
16.510641,1000,255.614239
27.88832,1000,255.614268
23.9413,1000,255.614296
20.276077,1000,255.614324
48.62234,1000,267.910115
14.107708,1000,267.910226
23.958178,1000,267.910264
21.4984,1000,267.910296
62.44751,1000,267.910326
61.1927,1000,267.910378
28.357327,1000,267.910408
18.983366,1000,267.910436
-53.681396,1000,267.910465
-0.53653777,1000,267.910494
-50.461796,1000,274.719397
20.778837,1000,274.7195
28.146137,1000,274.71954
56.973797,1000,274.719572
22.370872,1000,274.719602
0.0,1000,274.719632
49.991657,1000,274.71966
40.004726,1000,274.719688
39.237488,1000,274.719717
21.791403,1000,274.719746
0.018276835,1000,287.655255
12.425125,1000,287.655359
8.051773,1000,287.6554
23.607418,1000,287.655432
23.23867,1000,287.655463
-5.96402,1000,287.655494
34.16967,1000,287.655524
85.549,1000,287.655554
29.804617,1000,287.655584
6.520717,1000,287.655613
23.51748,1000,295.138615
30.741148,1000,295.138728
24.481775,1000,295.138768
62.953205,1000,295.138802
25.109129,1000,295.138832
53.198124,1000,295.138861
23.556105,1000,295.138891
27.143988,1000,295.138921
51.025208,1000,295.13895
27.079327,1000,295.13898
10.548328,1000,307.596733
27.126268,1000,307.596833
40.173695,1000,307.596878
32.307625,1000,307.596915
45.978218,1000,307.59695
15.535312,1000,307.596984
27.712364,1000,307.597018
40.38118,1000,307.597052
5.5739465,1000,307.597085
41.836994,1000,307.597119
23.440117,1000,314.776289
29.712048,1000,314.776385
9.27996,1000,314.776424
22.938526,1000,314.776455
26.901005,1000,314.776485
22.531466,1000,314.776515
4.8784156,1000,314.776543
13.314941,1000,314.776572
27.026817,1000,314.776602
28.322733,1000,314.776631
7.1264377,1000,327.079746
0.8644917,1000,327.079869
54.22306,1000,327.079909
21.724678,1000,327.079941
24.952965,1000,327.079971
46.14672,1000,327.08
25.62232,1000,327.080029
-33.80436,1000,327.080058
29.919739,1000,327.080088
31.624897,1000,327.080117
37.819065,1000,334.196319
16.436188,1000,334.196436
31.29169,1000,334.196476
-5.150735,1000,334.196509
10.653494,1000,334.196538
28.61845,1000,334.196567
73.06618,1000,334.196595
36.89351,1000,334.196624
26.649822,1000,334.196652
40.490444,1000,334.196681
52.069847,1000,347.151339
28.140064,1000,347.15148
28.725025,1000,347.151539
16.422422,1000,347.151592
27.77568,1000,347.151643
27.114737,1000,347.151694
17.532326,1000,347.151745
24.065632,1000,347.151796
0.88290757,1000,347.151847
26.477467,1000,347.151898
47.867268,1000,355.318485
49.320057,1000,355.318577
13.9402685,1000,355.318615
42.626423,1000,355.318646
26.707502,1000,355.318675
36.033558,1000,355.318704
